id,title,release_date,popularity,vote_average,vote_count,original_language,genre_ids,overview
1325734,The Drama,2026-03-26,107.3735,7.0,678,en,"[10749, 35, 18]",A happily engaged couple is put to the test when an unexpected turn sends their wedding week off the rails.
1084242,Zootopia 2,2025-11-26,96.7903,7.613,2680,en,"[12, 16, 35, 10751, 9648]","After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before."
1414413,Brothers Under Fire,2026-04-15,95.3832,6.237,19,en,"[28, 53, 9648, 18]","Captain Jordan Wright's squadron on leave for a wedding in Mexico encounters a murderous cartel. As Jordan tries to lead survivors to safety, war erupts between his squad and the cartel, forcing him into a battle to save his men."
1241752,Rita,2024-03-22,99.7201,6.1,21,tl,[18],"Rita, who finds herself alone when husband Ariel works abroad. They both find solace and sexual satisfaction in other people. When Ariel comes back, they both act like nothing happened. But will this keep their marriage from falling apart?"
1242898,Predator: Badlands,2025-11-05,86.3877,7.688,2747,en,"[28, 878, 12]","Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary."
1173559,Insidious Inferno,2024-11-29,85.9105,6.133,15,en,[27],A secluded cottage is plagued by gruesome murders and unbeknownst to the inhabitants something other worldly lurks within the halls. Can the couple solve the mystery of the cursed grounds in time or will they open the door to the inferno?
91478,Minnesota Clay,1964-11-12,59.455,6.122,37,it,[37],"Wrongfully imprisoned for a crime he didn't commit, Minnesota Clay seeks revenge on the man who withheld evidence at his trial. There is a problem however, he is going blind."
755898,War of the Worlds,2025-07-29,77.647,4.146,977,en,"[878, 53]","Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world."
334535,The Ticket,2016-10-09,58.8244,5.679,95,en,[18],A blind man who regains his vision finds himself becoming metaphorically blinded by his obsession for the superficial.
82023,Hotel Desire,2011-12-07,89.3469,6.146,144,de,"[18, 10749]","Antonia is a single mother who works as a hotel maid in Berlin. A normal hot summer day takes a dramatic turn when she crosses paths with a particular guest of the hotel, famous blind portrait painter Julius Pass."
848116,Rocky Aur Rani Kii Prem Kahaani,2023-07-28,70.6539,6.137,84,hi,"[35, 18, 10751, 10749]","Gym-freak brat Rocky falls in love with Rani, who comes from a well-educated Bengali family. Being from polar opposite worlds, the two decide to switch their families to adjust to each other's cultures and backgrounds and to know if their marriage will survive. Rocky and Rani are trapped in a world where they are united by love but divided by families and the ultimate question is will they fit in?"
440249,After Porn Ends 2,2017-03-28,72.9875,5.4,251,en,[99],"After Porn Ends 2 picks up where its predecessor left off and not only turns back the clock to meet the oldest living stars in adult film's history, but goes in depth with some of Its most current retirees and juxtaposes their experiences in a life after porn. Delving deeper into society's ongoing stigmas of race, misogyny, and the reality of decreasing opportunities for these former VHS box cover stars. For some, their careers in adult entertainment is accepted proudly and without regret. In fact, it seems to have proven to be the pathway to their current happiness and inner peace. For others, however, a career in porn has proven to be a conduit to certain despair as they struggle to find a way to bury their past and emerge with a new career or calling."
1171145,Crime 101,2026-02-11,75.6507,6.942,875,en,"[80, 53]","When an elusive thief whose high-stakes heists unfold along the iconic 101 freeway in Los Angeles eyes the score of a lifetime, with hopes of this being his final job, his path collides with a disillusioned insurance broker who is facing her own crossroads. Determined to crack the case, a relentless detective closes in on the operation, raising the stakes even higher."
1330021,Remarkably Bright Creatures,2026-05-07,125.2436,8.1,43,en,"[18, 9648]","Through unlikely bonds formed during night shifts at a local aquarium, Tova, an elderly widow, learns of a life-changing discovery that may bring her joy and wonder once again."
1419406,The Shadow's Edge,2025-08-16,71.2912,7.232,611,zh,"[28, 80, 18, 53]",Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.
1368166,The Housemaid,2025-12-18,68.6606,7.237,2019,en,"[9648, 53]","Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dangerous—a sexy, seductive game of secrets, scandal, and power."
