id,title,release_date,popularity,vote_average,vote_count,original_language,genre_ids,overview
1368166,The Housemaid,2025-12-18,68.6606,7.238,2021,en,"[9648, 53]","Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dangerous—a sexy, seductive game of secrets, scandal, and power."
10693,Peter Pan,1953-02-05,51.3089,7.189,5729,en,"[16, 10751, 12, 14]","Leaving the safety of their nursery behind, Wendy, Michael and John follow Peter Pan to a magical world where childhood lasts forever. But while in Neverland, the kids must face Captain Hook and foil his attempts to get rid of Peter for good."
1352874,The Crucifix: Blood of the Exorcist,2025-01-09,62.8159,5.703,37,en,[27],"A gruesome discovery in the grounds of their new home plunges a young couple into a maelstrom of spiritual possession, pagan rituals, Viking battles, and violent revenge."
157336,Interstellar,2014-11-05,63.0157,8.471,39595,en,"[12, 18, 878]",The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.
12476,The Hidden,1987-10-30,47.426,6.899,477,en,"[28, 878, 27, 53]","When average, law-abiding citizens suddenly turn to a life of hedonistic behavior and violent crime, Detective Tom Beck is tasked with helping young FBI agent Lloyd Gallagher determine the cause."
1207162,Rise of the Conqueror,2026-04-09,63.5986,5.889,9,en,"[36, 28, 12, 10752]","In the 14th-century, as the Silk Road crumbles and rival factions tear the land apart, fearless warrior Timur emerges from exile. Stripped of everything, he fights to unite the fractured kingdoms, using strategy and sheer will to carve an empire from chaos. Undefeated in battle and widely regarded as one of history’s greatest military leaders and tacticians, not to mention one of its most brutal, Timur would found the Timurid Empire, which ruled over modern-day Afghanistan, Iran and Central Asia."
7451,xXx,2002-08-09,66.4085,5.986,4882,en,"[28, 12, 53, 80, 18]","Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi."
1160946,Animalicious,1999-01-01,44.0648,9.0,2,en,"[99, 10770]","A film about fate, co-existence, vanity, justice, karma and forgiveness, ANIMALICOUS comprises six stories of people and the animals that shot them, fell on them, and generally caused mayhem of one sort or another. Filmed in Kentucky, Missouri, and England, ANIMALICOUS features a bomb-diving duck, a squirrel which thinks it’s landed on Normandy Beach, a hawk that could easily work for a hair growth pharmaceutical company, a parakeet, a turkey, a hungry snake, and one tiny little dog. It’s a funny but wry account of how animals can be a way of defining ourselves. In ANIMALICIOUS Lewis displays a genuine knack for uncovering the comic and quizzical relationships that exist between people and creatures great and small."
1159559,Scream 7,2026-02-25,62.5816,6.067,848,en,"[27, 9648, 80]","When a new Ghostface killer emerges in the quiet town where Sidney Prescott has built a new life, her darkest fears are realized as her daughter becomes the next target. Determined to protect her family, Sidney must face the horrors of her past to put an end to the bloodshed once and for all."
1579,Apocalypto,2006-12-07,65.2434,7.602,6230,en,"[28, 18, 36]","Set in the Mayan civilization, when a man's idyllic presence is brutally disrupted by a violent invading force, he is taken on a perilous journey to a world ruled by fear and oppression where a harrowing end awaits him. Through a twist of fate and spurred by the power of his love for his woman and his family he will make a desperate break to return home and to ultimately save his way of life."
